first_name,last_name,street,town,zip,country,date_of_birth,hobbies
André,Pieters,Paseo Chucho Roca 1,Rey,86379,Kingdom of the Netherlands,1993-01-12,reading
Ilaria,Jäggi,Veerlepad 1,Naters,5078,France,1950-03-12,chess;writing;photography
Melissa,Pollak,Urbanización María Teresa Mancebo 4,Lopesdan,3553,Kingdom of the Netherlands,1983-08-09,skiing
Vittorio,Cárdenas,"Rua de Sousa, 40",Lobenstein,4395PF,Switzerland,1954-03-25,baking
Gioffre,van Dam,Eichenbergerstrasse 1,Techer,07045,France,1969-04-09,cycling;reading;hiking;swimming
Filipa,Backer,"245, avenue Hugues De Sousa",Nördlingen,38022,France,1998-04-03,tennis;reading
Ezequiel,Sorger,"Viale Antonioni, 45",Ávila,5822-782,Switzerland,2003-10-02,skiing;traveling
Leyre,de Vroege,Fabianplatz 15,Rudolstadt,01471,France,1959-08-27,fishing;baking
Natalie,Burtscher,Glorieta de Calista Catalán 497 Piso 6 ,Badajoz,6667,Germany,1949-01-17,reading;gardening;traveling
Karl,Feliu,Ronda Gervasio Lopez 23 Piso 8 ,Saint Éric,11899,Switzerland,1975-07-22,painting;photography;swimming
Katherine,Gehringer,Hartmannstrasse 96,Gondomar,1098VU,Germany,1982-01-12,cooking;hiking;knitting
Arturo,Lemoine,"4, rue Hélène Hoarau",Lüdenscheid,5353,Kingdom of the Netherlands,1953-06-22,music
Tygo,Seiwald,boulevard Geneviève Roussel,Benoit-la-Forêt,12065,France,1968-07-05,writing;painting;cycling
Raimondo,van der Heijden,Tatjana-Eimer-Ring 91,Pawigl,9534FQ,Germany,1985-03-10,skiing;cooking;knitting;hiking
Bilal,Kade,"Viale Amanda, 8 Appartamento 2",Mureck,89015,Kingdom of the Netherlands,2001-11-12,writing;music;swimming
Roswitha,Göschl,Paseo de Soledad Ramos 323,Alcara Li Fusi,56342,France,2000-03-05,cycling
Lourenço,Seguí,Tobias-Baier-Platz 5/4,Marty,9501,Kingdom of the Netherlands,1981-10-21,yoga;hiking
Benjamin,Godard,Lüthistrasse 49,Bellingwolde,1883,Austria,1949-08-21,cooking;knitting
Elsa,Fouquet,Nickring 482,Sevilla,3994,Switzerland,1964-05-16,fishing;music;gardening
Tito,Mader,"Praça Salomé Carvalho, 914",Groß-Enzersdorf,1320PE,France,1971-05-04,music;swimming;painting
Lina,Moser,Staubstrasse 7,Zaragoza,9831-727,Austria,1983-10-29,writing
Anisa,Carneiro,"Rua de Rocha, 88",León,91392,Spain,1966-05-22,skiing;chess
Guillaume,Gianinazzi,Bergerstrasse 95,Barreiro,28534,Switzerland,1999-03-16,fishing;knitting
Idriz,Kitzmann,Bosteeg 37,Las Palmas,9656-272,Germany,1982-07-09,skiing;chess;running
Denis,Egli,"Travessa Lourenço, 83",Maissau,1417 VI,Germany,1959-05-10,chess
Renée,Wende,Mechtild-Bärer-Weg 832,Carpentier-sur-Turpin,2299 XK,Kingdom of the Netherlands,1981-09-08,running
Elin,Kuhn,Via Josefina Mata 119,Voitsberg,2850,Switzerland,1951-11-17,painting;hiking;swimming;running
Nadin,Rocca,"Viale Roccabonella, 5 Piano 7",Ourense,6075,Italy,1958-08-05,dancing;knitting
Olivier,Schenk,Ilja-Tschentscher-Straße 88-83,Castelo Branco,6634EJ,Austria,2008-01-07,photography;painting;writing;chess
Jennifer,Fonseca,Gielhof 182,Valencia,5989-413,Spain,1956-07-14,baking;traveling;knitting
Ina,Leonardi,Thanelplatz 51-80,Pinhel,89842,Kingdom of the Netherlands,1952-06-01,chess;photography;tennis
Andrée,Assunção,Mareile-Rose-Ring 23,Thônex,8749,Switzerland,1981-01-19,hiking;cycling;cooking;photography
Ekaterina,Ledoux,Avenida de Faustino Heredia 28,Locatello,8974,Germany,1963-05-19,traveling;hiking
Jinthe,Assunção,Ronda Darío Gomila 34 Apt. 02 ,Wânswert,7174 RG,Portugal,1950-04-19,knitting;fishing;tennis;painting
Rita,Walter,Jannik-Hammer-Weg 490,Oriolo Romano,6296-717,Switzerland,1965-06-15,cooking
Isaac,Käfer,"Av de Eça de Queirós, S/N",Köflach,97361,Germany,1971-04-07,running;cooking;yoga
Aura,Reinthaler,"Rua Fonseca, 52",Ermesinde,24808,Switzerland,1959-05-21,gardening;fishing;reading;painting
Célina,Jourdan,"Stretto Leblanc, 497 Appartamento 6",Sant'Albano Stura,1584 SU,Kingdom of the Netherlands,1999-09-28,tennis;cooking
Francisca,Leite,Jägerplatz 96,Alicante,8662,Portugal,1953-03-08,tennis;swimming;photography
Josef,Barbosa,"Alameda Margarida Cardoso, S/N",Peso da Régua,2586,Austria,2000-03-10,gardening;skiing;tennis
Ella,Huet,Thomasboulevard 172,Augustinusga,04556,Italy,1978-09-10,writing
Fausto,Bosurgi,Schmidtstrasse 57,Albufeira,5821-759,Switzerland,1974-01-04,dancing;reading;cooking
Jorn,Mettler,"69, chemin de Bonnin",Andijk,5090,Portugal,1994-02-06,yoga;chess;cycling
Elvira,Hagen,Via Vera Ariza 17 Puerta 5 ,Lauro,3623 YI,Austria,1997-07-20,baking;hiking
Sanne,Gaspar,Böschplatz 68,Marchtrenk,81754,Switzerland,1952-01-21,dancing
Adriana,Scholl,Natalie-Zettl-Ring 1/2,Hansestadttralsund,6138-267,Switzerland,2001-01-04,skiing
Victoire,Ramos,Stuckistrasse 87,Badajoz,9506,Kingdom of the Netherlands,2006-03-24,photography;dancing
Edgar,Almazán,Fedor-Zimmer-Weg 4183,Vizcaya,67036,Kingdom of the Netherlands,2007-06-11,painting;tennis
Lucy,Capone,Orhan-Zobel-Platz 50/12,Torre Archirafi,95165,Portugal,1994-03-30,swimming;skiing;writing;yoga
Catherine,Aroca,Cassingel 6,Mendèsdan,11429,Italy,1953-03-06,music;fishing;tennis;baking
